video_id,video_title,upload_date,view_count,like_count,favorite_count,comment_count
LLLFzg3yZy4,El Super Increíble Podcast   Los propósitos de año nuevo con Víctor Rafalli   EP 54 EN VIVO,2020-01-01,21485,633,0,47
O-8SX7cDBgo,El Super Increíble Podcast   Cuentos de navidad y las películas de la década con @ChuchoRz   EP 53,2019-12-25,28879,1043,0,138
MulZXRvIQeo,El Super Increíble Podcast   Las batallas de freestyle   EP 52,2019-12-18,24845,984,0,143
-dVFzSDd4Hg,Extra del Super Increíble Podcast: ¿Quién es el violador?,2019-12-13,12724,713,0,195
F-Qj1D7qAzs,El Super Increíble Podcast   Estar enfermo y la venezolana en Call Of Duty   EP 51,2019-12-11,20996,744,0,155
_-Tu8BeBIX0,El Super Increíble Podcast   Respondo 50 preguntas por el episodio 50,2019-12-07,29566,1223,0,121
GNNrLALEgF0,Conversaciones: Cómo es hacer Stand Up en los Estados Unidos con Francisco Ramos,2019-11-29,7041,183,0,32
apduxZa_SkA,"El Super Increíble Podcast   Netflix, Disney + y las armas blancas con @ChuchoRz   EP49",2019-11-27,37054,1261,0,225
1jr5shZbz7s,El Super increíble Podcast   Los nuevos pecados de la iglesia   EP 48,2019-11-20,22715,898,0,138
150TTSxXWUw,El Super Increíble Podcast   Cómo curar la resaca y otras echaderas de broma   EP 47,2019-11-13,29027,1028,0,148
ERpwXZVBhLs,El Super Increíble Podcast   Las fantasías sexuales   EP 46,2019-11-06,34833,1097,0,169
SQ0dnGkE6HE,El Super Increíble Podcast   Mi visita a Venezuela y la nueva canción de intro  EP 45,2019-10-30,55498,1786,0,479
4EeXqcDYrqY,El Super Increíble Podcast   Gaming y streaming con Lucas Lauriente   EP 44,2019-10-23,36842,1582,0,153
eGNYn-wOp5M,El Super Increíble Podcast   Robots sexuales y el pepino de la muerte   EP 43,2019-10-16,23654,737,0,136
mSHlX_HPkik,El Super Increíble Podcast   Joaquin Phoenix vivió en Venezuela y Apple hace gay a la gente   EP 42,2019-10-09,52718,1631,0,257
ut7MtU0qYL4,El Super Increíble Podcast   Películas que dan miedo y ¿Qué es un cacorro? con Luis Chataing   EP 41,2019-10-02,139532,3797,0,563
GQpX9g_QVkM,El Super Increíble Podcast   Comidas y bebidas favoritas con George Harris   EP 40,2019-09-26,264990,8801,0,1104
R5-SyKJMMB4,El Súper Increíble Podcast   Acampar y mascar chimó con Led Varela   EP 39,2019-09-17,246315,8326,0,706
ElpApn-Ctec,El Súper Increíble Podcast   El bullying y los chinazos con Fernando Sanjiao   EP 38,2019-09-11,22645,1035,0,117
rl-Jbs1jcQw,EXTRA: ¿Cómo funciona Rotten Tomatoes?,2019-09-10,8462,525,0,32
vPoO-R0KMMc,El Súper Increíble Podcast   Septiembre el mes más común y los ángeles de Victor   EP 37,2019-09-04,11696,485,0,73
V4ws_oSHNbM,El Súper Increíble Podcast   Las materias que deberían agregar en el colegio   EP 36,2019-08-28,21649,916,0,131
o-EQv90kH4E,El Super Increíble Podcast   Spiderman y el feminismo   EP 35,2019-08-21,11866,643,0,100
RAmKwWuU-sw,El Super Increíble Podcast   Aprendiendo a tomar mate con Nicolás De Tracy   EP 34,2019-08-14,47413,1854,0,335
